fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.65,0.412,0.2,2.37,0.166,8.7,31.3,0.99922,3.36,0.59,9.4,5
8.98,0.702,0.18,2.67,0.082,18.3,62.9,0.99803,3.13,0.55,9.1,5
8.55,0.589,0.07,2.74,0.146,22.4,61.0,0.99579,3.45,0.69,10.3,5
8.74,0.6,0.22,2.35,0.075,4.0,7.7,0.99904,3.25,0.77,9.4,6
7.65,0.452,0.34,2.88,0.236,19.4,69.6,0.9963,3.25,0.63,11.1,5
8.97,0.58,0.4,1.1,0.124,15.9,56.4,0.99821,3.16,0.76,8.9,5
8.69,0.406,0.11,1.84,0.079,30.9,70.4,0.99848,3.32,0.7,9.1,6
9.55,0.36,0.59,2.16,0.238,11.3,39.3,0.99983,3.3,0.63,8.8,6
6.52,0.545,0.28,1.32,0.051,3.4,6.0,0.99945,3.3,0.58,9.1,5
7.99,0.693,0.17,1.38,0.136,15.4,26.5,0.99589,3.23,0.51,10.2,6
10.83,0.389,0.16,2.17,0.089,11.1,34.3,0.99692,3.28,1.07,11.3,6
10.74,0.47,0.2,3.87,0.143,21.2,64.2,0.99767,3.26,0.51,9.9,6
11.62,0.365,0.0,4.19,0.148,14.5,43.7,0.99694,3.38,0.65,9.3,6
5.59,0.66,0.26,1.84,0.149,9.4,32.9,0.99542,3.31,0.54,11.2,6
8.59,0.543,0.29,3.39,0.061,19.4,68.5,0.99465,3.18,0.51,10.9,6
9.32,0.316,0.2,2.44,0.152,7.1,15.1,0.99873,3.45,0.62,10.3,5
8.38,0.666,0.0,1.07,0.159,17.3,50.1,0.99881,3.1,0.73,8.4,5
10.97,0.586,0.11,2.16,0.132,6.9,15.4,0.99815,3.33,0.61,8.7,6
7.02,0.644,0.18,2.29,0.057,16.7,43.4,0.99648,3.3,0.67,10.2,7
7.76,0.612,0.21,2.08,0.09,13.7,40.4,0.99525,3.45,0.59,11.7,6
8.84,0.599,0.05,1.93,0.129,8.8,29.5,0.998,3.49,0.58,9.8,4
8.84,0.565,0.42,2.3,0.129,13.4,37.4,0.9966,3.29,0.67,10.2,7
7.12,0.588,0.2,2.36,0.177,16.8,34.5,0.9994,3.21,0.72,8.9,5
8.9,0.368,0.24,1.74,0.161,13.0,46.4,0.99918,3.12,0.67,8.4,5
9.97,0.748,0.09,1.39,0.074,16.2,57.3,0.99414,3.3,0.81,10.7,7
11.03,0.542,0.55,2.28,0.171,19.4,46.0,0.99841,3.33,0.51,9.6,5
11.45,0.467,0.04,2.41,0.163,26.9,90.2,0.9963,3.17,0.87,10.9,6
8.27,0.332,0.25,2.58,0.126,6.2,6.0,0.99399,3.29,0.66,11.8,6
9.42,0.539,0.34,1.74,0.145,30.2,74.6,0.99682,3.36,0.33,10.4,5
7.31,0.78,0.56,2.05,0.172,30.5,100.1,0.99871,3.33,0.64,9.5,6
7.24,0.436,0.14,3.19,0.105,13.8,46.2,0.99708,3.43,0.48,9.6,5
7.56,0.632,0.29,1.47,0.133,18.2,66.1,0.99831,3.22,0.63,9.4,6
7.87,0.636,0.08,1.11,0.129,7.0,21.2,0.99708,3.4,0.62,9.7,6
6.04,0.594,0.03,2.36,0.135,9.4,27.4,0.998,3.18,0.42,8.4,5
7.59,0.512,0.31,2.55,0.113,19.6,36.2,0.99736,3.31,0.46,8.8,5
9.68,0.591,0.38,1.83,0.13,6.8,22.1,0.99943,3.28,0.53,8.9,5
6.93,0.648,0.48,1.75,0.055,23.6,75.8,0.99601,3.3,0.83,9.6,6
7.42,0.637,0.1,4.44,0.081,25.1,67.9,0.9964,3.12,0.81,10.7,7
8.96,0.336,0.14,1.6,0.106,15.7,47.0,0.99642,3.27,0.9,10.8,7
7.54,0.377,0.39,1.8,0.125,15.0,48.0,0.99444,3.29,0.55,11.2,6
6.47,0.672,0.43,1.69,0.101,12.4,33.2,0.99555,3.26,0.81,10.7,6
8.17,0.319,0.08,0.9,0.099,19.7,70.9,0.99695,3.4,0.49,9.1,6
9.23,0.419,0.24,1.77,0.189,11.9,20.1,0.99759,3.39,1.0,10.0,6
7.82,0.401,0.41,3.6,0.194,23.8,64.1,0.99697,3.18,0.58,9.4,6
8.15,0.405,0.61,1.95,0.159,3.3,13.6,0.99925,3.57,0.66,9.8,6
9.31,0.246,0.23,1.65,0.137,11.3,28.2,0.99831,3.36,0.62,10.0,7
9.25,0.572,0.33,3.54,0.058,23.1,55.5,0.99816,3.24,0.74,10.0,5
7.58,0.535,0.36,1.4,0.326,3.7,6.0,0.99573,3.27,0.69,11.0,6
7.17,0.514,0.1,0.9,0.115,11.2,10.2,0.99741,3.18,0.63,9.6,5
10.86,0.403,0.43,2.79,0.174,4.0,13.3,0.99813,3.24,0.76,8.5,6
8.63,0.466,0.03,2.21,0.1,12.6,20.9,0.99593,3.22,0.75,10.6,6
6.1,0.769,0.53,1.4,0.141,12.3,25.1,0.99588,3.23,0.67,10.7,7
7.77,0.701,0.09,1.31,0.15,16.1,58.5,0.99919,3.45,0.67,9.2,6
9.76,0.661,0.6,2.31,0.13,9.4,8.9,0.9971,3.18,0.79,10.1,7
7.81,0.841,0.17,2.57,0.188,32.8,95.6,0.99756,3.42,0.68,10.4,6
4.81,0.46,0.36,3.16,0.054,13.2,35.4,0.99854,3.4,0.61,9.0,5
8.17,0.463,0.13,0.9,0.239,12.7,33.3,0.99769,3.14,0.66,9.2,6
10.0,0.632,0.29,3.08,0.155,30.7,77.7,0.99837,3.36,0.63,9.0,5
7.39,0.637,0.32,2.45,0.081,5.8,15.6,0.99734,3.19,0.39,9.2,5
8.0,0.685,0.18,1.14,0.125,14.5,47.8,0.99495,3.23,0.81,11.1,6
10.28,0.514,0.26,1.78,0.119,16.7,38.4,0.99829,3.38,0.56,9.5,4
8.17,0.445,0.5,1.9,0.111,3.6,12.0,0.99677,3.48,0.74,10.5,6
7.29,0.614,0.23,1.58,0.216,20.5,55.7,0.99798,3.4,0.52,9.3,4
8.19,0.645,0.29,1.36,0.107,10.2,37.9,0.99718,3.38,0.61,8.8,5
9.69,0.89,0.31,1.23,0.103,29.1,77.9,0.99688,3.32,0.75,9.2,6
7.57,0.72,0.05,1.12,0.18,14.7,54.9,0.99682,3.19,0.53,10.1,6
4.8,0.652,0.6,2.01,0.138,21.7,34.0,0.99674,3.52,0.64,9.2,5
8.96,0.616,0.38,5.05,0.153,9.4,33.6,0.99616,3.38,0.6,10.6,5
11.01,0.571,0.24,1.57,0.276,19.4,40.9,0.99734,3.2,0.72,9.5,5
8.83,0.621,0.07,1.07,0.114,10.1,13.8,0.99821,3.38,0.62,9.2,6
11.09,0.523,0.25,3.24,0.292,27.6,50.6,0.99737,3.25,0.62,10.4,5
6.96,0.551,0.28,1.21,0.1,39.0,132.4,0.99762,3.43,0.62,8.9,5
11.29,0.768,0.34,2.07,0.061,30.6,87.8,0.99837,3.08,0.7,9.3,6
8.23,0.66,0.22,1.0,0.155,27.8,73.6,0.99797,3.35,0.46,9.3,5
8.7,0.819,0.26,1.17,0.047,19.1,62.4,0.99748,3.16,0.79,9.7,6
7.03,0.29,0.15,2.63,0.105,11.0,37.9,0.99599,3.5,0.67,10.6,7
9.6,0.777,0.3,2.68,0.064,8.1,16.2,0.99743,3.45,0.6,9.8,6
10.76,0.736,0.48,1.6,0.106,12.7,42.6,0.99683,2.98,0.67,10.0,5
10.11,0.638,0.45,3.36,0.094,29.0,71.5,0.9987,3.38,0.62,9.7,5
7.12,0.646,0.28,1.22,0.129,12.2,33.7,0.99782,3.23,0.64,9.9,5
8.59,0.693,0.16,6.61,0.077,9.5,32.8,1.00024,3.4,0.64,8.7,5
7.81,0.413,0.8,1.28,0.129,10.7,34.5,0.99853,3.41,0.63,8.9,5
7.82,0.545,0.45,3.03,0.095,28.1,94.9,0.99768,3.3,0.85,10.1,5
10.62,0.788,0.41,2.82,0.265,8.0,28.3,0.99548,3.23,0.57,11.1,6
10.72,0.728,0.46,3.03,0.138,19.0,53.9,0.99835,3.35,0.71,9.4,6
8.71,0.738,0.35,1.38,0.065,14.3,42.3,0.99789,3.18,0.88,9.4,6
8.44,0.737,0.25,1.83,0.111,4.2,6.0,0.99824,3.42,0.59,8.8,5
8.73,0.683,0.22,3.24,0.229,21.5,53.7,0.99629,3.31,0.83,10.8,6
8.2,0.648,0.1,2.77,0.136,5.1,15.9,0.99749,3.48,0.72,9.9,6
5.68,0.745,0.3,1.09,0.26,14.1,38.6,0.99908,3.27,0.65,8.5,5
9.05,0.668,0.29,6.1,0.261,11.5,38.7,0.99776,3.36,0.53,9.2,5
8.15,0.627,0.43,1.02,0.117,7.0,18.6,0.99488,3.27,0.76,12.4,7
4.6,0.659,0.25,4.77,0.145,7.7,7.4,0.9975,3.28,0.72,10.3,5
7.47,0.553,0.04,1.91,0.095,15.7,57.1,0.99732,3.31,0.5,10.8,6
8.16,0.974,0.22,2.79,0.127,20.8,66.0,0.99722,3.2,0.55,9.8,5
9.67,0.528,0.38,1.04,0.117,5.3,6.0,0.99659,3.34,0.65,9.2,5
10.01,0.829,0.4,1.31,0.096,12.4,36.2,0.99484,3.34,0.84,12.6,6
9.58,0.897,0.26,1.25,0.234,15.9,27.8,0.99849,3.22,0.45,9.9,5
7.96,0.391,0.32,3.44,0.091,8.0,15.7,0.99853,3.35,0.7,10.5,7
9.63,0.548,0.49,1.61,0.072,13.8,35.3,0.99965,3.15,0.74,9.4,6
8.21,0.734,0.42,2.65,0.108,24.8,70.9,0.99547,3.32,0.38,11.3,5
7.52,0.608,0.27,5.03,0.036,23.4,53.3,0.99648,3.21,0.9,10.2,6
8.56,0.465,0.16,3.08,0.081,10.9,29.5,0.99871,3.32,0.64,8.4,5
5.75,0.414,0.17,2.45,0.125,10.0,27.1,0.99525,3.38,1.01,11.1,6
6.75,0.614,0.69,1.02,0.309,14.0,49.4,0.99678,3.29,0.57,9.8,5
6.96,0.622,0.11,1.4,0.193,27.7,71.6,0.99573,3.55,0.78,10.1,6
6.31,0.754,0.05,2.49,0.096,9.0,23.1,0.99788,3.39,0.49,9.3,6
8.77,0.382,0.64,2.24,0.162,22.7,78.9,0.99515,3.37,0.74,11.4,7
10.98,0.37,0.0,2.52,0.114,4.1,17.2,0.99595,3.38,0.75,11.4,7
5.12,0.551,0.02,3.04,0.107,6.2,39.7,0.99557,3.27,0.7,11.0,7
10.92,0.293,0.36,1.01,0.056,10.7,47.3,0.99683,3.23,0.49,9.8,6
6.8,0.581,0.57,1.99,0.077,44.3,153.2,0.99684,3.38,0.58,9.8,5
6.69,0.512,0.37,1.87,0.182,12.5,29.1,0.9959,3.31,0.79,11.1,7
8.12,0.639,0.34,2.26,0.163,23.3,75.1,0.99851,3.16,1.0,9.6,6
8.8,0.559,0.12,1.64,0.162,32.5,104.0,0.99945,3.39,0.57,9.9,5
7.39,0.604,0.0,4.32,0.148,11.7,40.5,0.99574,3.23,0.71,10.3,5
10.34,0.44,0.37,1.27,0.175,20.2,78.6,0.99582,3.29,0.56,10.5,6
9.5,0.668,0.0,3.63,0.155,14.7,32.1,0.99635,3.43,0.8,11.2,7
9.24,0.429,0.14,2.88,0.057,8.9,30.3,0.99786,3.4,0.84,8.7,5
6.92,0.432,0.58,4.35,0.046,15.9,44.9,0.99496,3.29,0.98,11.4,7
10.65,0.575,0.3,0.9,0.07,25.5,70.8,0.99684,3.23,0.73,9.2,5
8.66,0.45,0.32,4.42,0.051,5.2,19.2,0.99786,3.24,0.61,9.9,5
7.92,0.658,0.38,1.72,0.088,20.3,75.6,0.99602,3.21,0.64,10.4,7
4.6,0.343,0.29,1.78,0.168,15.5,41.8,0.99751,3.4,0.65,10.1,6
8.75,0.37,0.6,1.64,0.161,20.0,79.1,0.99529,3.23,0.62,12.1,7
10.35,0.582,0.44,1.55,0.137,20.2,51.3,0.99711,3.39,0.65,10.3,7
6.12,0.749,0.46,3.01,0.099,7.9,17.6,0.9989,3.33,0.71,8.4,4
8.39,0.524,0.19,4.04,0.175,23.8,60.2,0.99746,3.28,0.69,10.3,5
9.02,0.631,0.0,4.92,0.079,27.5,80.5,0.99654,3.33,0.62,10.8,6
6.17,0.75,0.44,2.57,0.128,9.0,32.8,0.99787,3.13,0.59,9.7,5
6.58,0.477,0.38,1.86,0.063,16.0,58.5,0.99636,3.45,0.72,9.7,6
8.37,0.776,0.13,0.96,0.055,24.5,58.7,0.99441,3.24,0.63,11.7,6
9.06,0.794,0.34,1.93,0.076,11.3,47.9,0.99749,3.16,0.77,10.3,6
6.51,0.58,0.16,2.12,0.074,9.4,16.9,0.99736,3.35,0.63,9.6,6
8.69,0.546,0.22,1.88,0.123,23.9,63.8,0.99515,3.4,0.55,11.7,5
8.09,0.374,0.5,1.72,0.106,29.8,67.5,0.9987,3.34,0.67,10.1,6
6.97,0.523,0.33,6.14,0.093,7.2,9.0,0.99819,3.28,0.68,10.0,5
11.13,0.72,0.3,1.05,0.105,27.2,87.4,0.9959,3.36,0.8,9.9,7
10.0,0.387,0.42,1.03,0.125,22.8,74.9,0.99917,3.39,0.63,8.4,4
9.52,0.524,0.29,2.2,0.143,6.2,12.6,0.99804,3.31,0.43,9.4,6
7.2,0.41,0.16,1.89,0.097,10.7,32.8,0.99795,3.41,0.74,10.4,6
6.34,0.668,0.16,3.94,0.1,29.5,79.6,0.99917,3.45,0.55,8.4,4
6.29,0.431,0.3,6.41,0.165,24.7,60.9,0.99796,3.34,0.83,9.0,7
10.89,0.701,0.05,6.03,0.107,23.4,62.2,0.99772,3.23,0.76,10.5,5
5.27,0.387,0.32,2.04,0.08,17.4,56.3,0.99717,3.34,0.71,10.7,6
8.33,0.593,0.28,2.53,0.118,26.4,93.0,0.99884,3.17,0.68,9.3,6
7.63,0.482,0.36,2.81,0.045,21.2,64.8,0.99663,3.47,0.68,10.0,6
11.89,0.664,0.26,1.56,0.104,30.1,103.1,0.99739,3.21,0.69,10.6,7
8.09,0.546,0.41,1.14,0.1,24.1,81.9,0.99512,3.42,0.74,11.9,8
8.94,0.673,0.19,4.68,0.104,19.9,53.8,0.99807,3.27,0.56,10.1,5
10.53,0.38,0.43,1.35,0.052,12.7,39.3,0.99499,3.28,0.7,10.9,7
7.3,0.83,0.15,2.21,0.162,21.5,56.0,0.99808,3.26,0.64,8.5,5
7.59,0.552,0.0,1.06,0.107,33.4,120.2,0.99628,3.34,0.63,9.7,6
10.23,0.547,0.22,3.49,0.134,25.6,58.7,0.99777,3.24,0.77,9.9,5
8.49,0.733,0.36,2.47,0.082,37.7,89.3,0.99984,3.3,0.84,8.4,4
6.85,0.608,0.0,5.93,0.192,15.1,47.0,0.99863,3.4,0.47,9.6,5
7.1,0.298,0.48,0.9,0.096,11.8,33.1,0.99532,3.2,0.66,10.9,5
10.53,0.4,0.65,3.48,0.171,24.5,80.9,0.99829,3.28,0.62,10.0,5
9.02,0.618,0.7,3.13,0.121,16.1,38.7,0.99669,3.39,0.72,10.2,5
7.55,0.756,0.38,1.21,0.112,21.0,60.0,0.99925,3.28,0.7,8.7,4
8.93,0.429,0.36,1.55,0.09,3.3,12.1,0.99701,3.34,0.61,9.9,6
8.69,0.288,0.06,2.31,0.05,15.6,36.3,0.99611,3.4,0.69,11.1,7
7.84,0.541,0.31,3.67,0.06,14.7,36.8,0.99593,3.33,0.72,11.0,6
7.43,0.503,0.41,1.54,0.036,13.7,46.2,0.99649,3.32,0.76,9.8,7
8.18,0.562,0.5,1.27,0.084,16.1,52.4,0.99597,3.23,0.53,9.8,5
8.35,0.799,0.28,1.14,0.145,16.0,44.7,0.99664,3.52,0.7,10.0,6
6.33,0.645,0.06,1.96,0.111,14.3,65.8,0.99837,3.48,0.75,9.1,5
10.0,0.679,0.06,2.63,0.104,14.0,35.4,0.997,3.41,0.61,10.4,6
8.59,0.49,0.41,2.1,0.141,6.5,26.9,0.9947,3.35,0.68,10.6,6
8.29,0.413,0.52,1.61,0.1,12.9,52.5,0.99844,3.3,0.61,9.2,6
8.22,0.594,0.25,1.37,0.08,14.7,50.9,0.99848,3.39,0.71,10.9,6
8.94,0.733,0.23,1.8,0.092,10.5,36.7,0.99953,3.47,0.64,9.0,5
7.43,0.677,0.35,4.11,0.207,8.6,20.2,0.99596,3.34,0.62,10.3,5
4.89,0.711,0.19,0.9,0.175,23.6,36.9,0.99722,3.25,0.59,9.8,5
9.75,0.466,0.37,1.47,0.095,14.0,41.9,0.99531,3.24,0.56,11.4,7
9.17,0.441,0.24,1.28,0.135,16.7,34.2,0.99804,3.13,0.66,8.8,5
6.33,0.621,0.25,2.59,0.098,5.6,10.8,0.99754,3.15,0.58,9.2,5
7.38,0.462,0.23,2.09,0.09,6.9,23.8,0.99371,3.31,0.5,11.9,6
9.16,0.624,0.36,3.27,0.107,11.7,29.0,0.99636,3.17,0.6,9.8,6
8.8,0.555,0.24,3.29,0.09,17.4,70.9,0.9984,3.28,0.58,9.1,6
9.82,0.608,0.17,1.53,0.123,3.3,14.5,0.9962,3.31,0.61,10.5,6
8.55,0.48,0.01,1.51,0.1,16.2,34.9,0.99862,3.41,0.58,8.8,6
6.71,0.5,0.21,2.99,0.041,44.6,130.1,0.99784,3.45,0.45,8.9,6
9.06,0.741,0.41,1.57,0.17,22.0,53.0,0.99573,3.31,0.5,11.0,5
8.29,0.731,0.41,0.9,0.099,17.9,72.0,0.99696,3.17,0.54,10.1,5
10.26,0.355,0.4,4.32,0.299,29.6,72.8,0.99647,3.1,0.64,8.8,6
9.58,0.532,0.58,3.29,0.267,3.1,23.3,0.99701,3.41,0.84,10.5,6
9.14,0.912,0.0,8.91,0.111,16.1,53.3,0.99732,3.3,0.86,10.5,6
5.85,0.596,0.28,1.2,0.075,7.0,13.0,0.99708,3.56,0.58,11.0,6
8.38,0.877,0.16,2.0,0.164,10.2,27.8,0.99642,3.21,0.39,10.1,5
6.13,0.667,0.35,1.34,0.058,18.6,61.4,0.99898,3.29,0.72,9.4,6
7.47,0.346,0.33,1.75,0.081,13.0,29.5,0.99702,3.46,0.63,11.2,6
6.42,0.48,0.61,1.01,0.07,13.8,40.1,0.99692,3.33,0.71,10.2,6
9.5,0.716,0.39,3.18,0.048,18.3,34.4,0.99674,3.37,0.53,10.1,6
9.86,0.399,0.28,4.37,0.16,20.1,41.8,0.99746,3.32,0.56,10.1,6
6.22,0.324,0.0,1.8,0.099,11.6,33.1,0.99751,3.31,0.65,9.8,6
